Close,diff,diff_class
4.39,0.0,1
4.39,0.0,1
4.57,0.1800000000000006,1
4.58,0.009999999999999787,1
4.58,0.0,1
4.84,0.2599999999999998,1
5.0,0.16000000000000014,1
5.0,0.0,1
5.32,0.3200000000000003,1
5.199999999999999,-0.120000000000001,0
5.29,0.09000000000000075,1
5.2524999999999995,-0.03750000000000053,0
4.93,-0.3224999999999998,0
4.93,0.0,1
5.19,0.2600000000000007,1
5.276666666666667,0.08666666666666689,1
5.37,0.09333333333333282,1
5.57,0.20000000000000018,1
5.72,0.14999999999999947,1
5.75,0.03000000000000025,1
5.79,0.040000000000000036,1
6.0,0.20999999999999996,1
6.075,0.07500000000000018,1
6.223333333333334,0.14833333333333343,1
6.45,0.22666666666666657,1
6.4350000000000005,-0.01499999999999968,0
6.42,-0.015000000000000568,0
6.43,0.009999999999999787,1
6.572,0.14200000000000035,1
6.69,0.11800000000000033,1
6.9,0.20999999999999996,1
6.583333333333333,-0.3166666666666673,0
6.4,-0.18333333333333268,0
6.4,0.0,1
6.4,0.0,1
6.15,-0.25,0
6.8,0.6499999999999995,1
6.9,0.10000000000000053,1
7.0,0.09999999999999964,1
6.9,-0.09999999999999964,0
6.666666666666667,-0.2333333333333334,0
6.57,-0.09666666666666668,0
6.6,0.02999999999999936,1
6.6000000000000005,8.881784197001252e-16,1
6.6,-8.881784197001252e-16,0
6.37,-0.22999999999999954,0
6.485,0.11500000000000021,1
6.29,-0.19500000000000028,0
6.3,0.009999999999999787,1
6.24,-0.05999999999999961,0
6.32,0.08000000000000007,1
6.540000000000001,0.22000000000000064,1
6.55,0.009999999999998899,1
6.625,0.07500000000000018,1
7.1,0.47499999999999964,1
7.14,0.040000000000000036,1
7.14,0.0,1
6.25,-0.8899999999999997,0
7.0,0.75,1
7.199999999999998,0.1999999999999984,1
7.21,0.010000000000001563,1
7.33,0.1200000000000001,1
6.9,-0.4299999999999997,0
7.0,0.09999999999999964,1
7.0,0.0,1
6.95,-0.04999999999999982,0
7.3,0.34999999999999964,1
7.3,0.0,1
7.293333333333333,-0.006666666666666821,0
7.08,-0.21333333333333293,0
6.65,-0.4299999999999997,0
7.35,0.6999999999999993,1
6.51,-0.8399999999999999,0
6.8,0.29000000000000004,1
6.7,-0.09999999999999964,0
6.7,0.0,1
6.8025,0.10250000000000004,1
7.0649999999999995,0.2624999999999993,1
6.887499999999999,-0.1775000000000002,0
6.7,-0.1874999999999991,0
7.200000000000001,0.5000000000000009,1
6.6,-0.6000000000000014,0
6.5,-0.09999999999999964,0
6.45,-0.04999999999999982,0
6.3,-0.15000000000000036,0
7.15,0.8500000000000005,1
6.2,-0.9500000000000002,0
7.1,0.8999999999999995,1
6.5,-0.5999999999999996,0
6.9,0.40000000000000036,1
6.9,0.0,1
6.031578947368421,-0.8684210526315796,0
6.0,-0.03157894736842071,0
6.010625,0.010625000000000107,1
6.02,0.009374999999999467,1
6.5,0.4800000000000004,1
6.0,-0.5,0
6.55,0.5499999999999998,1
5.52,-1.0300000000000002,0
7.0,1.4800000000000004,1
6.19,-0.8099999999999996,0
6.09,-0.10000000000000053,0
7.0,0.9100000000000001,1
6.08,-0.9199999999999999,0
