20-HCV-1030_Y_Value,20-LV-1031_HSI_InternalSetPointValue,20-LT-1031_HSI_X_Value,20-LV-1031_Z_X_Value,20-LV-1031_Z_Y_Value,20-LV-1034_HSI_InternalSetPointValue,20-LT-1034_HSI_X_Value,20-LV-1034_Z_X_Value,20-LV-1034_Z_Y_Value,20-PV-1037_HSI_InternalSetPointValue,20-PST-1037_HSI_X_Value,20-PV-1037_Z_X_Value,20-PV-1037_Z_Y_Value
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,20.0349026,20.0112038,38.59894
50.0,1.8,1.839141,1.839141,50.9523621,0.8,0.7993969,0.7993969,49.5860748,20.0,20.0615864,20.061533,39.0163727
50.0,1.8,1.840203465,1.840203465,50.95445,0.8,0.799385786,0.799385786,49.5832043,20.0,20.06114865,20.0612087,39.026723849999996
50.0,1.8,1.8425230400000001,1.8425230400000001,50.945803999999995,0.8,0.7993635809999999,0.7993635809999999,49.57674,20.0,20.0603571,20.0602612,39.0518383
50.0,1.8,1.84397328,1.84397328,50.9475937,0.8,0.799351156,0.799351156,49.57294,20.0,20.05949785,20.0595036,39.06634
50.0,1.8,1.84629285,1.84629285,50.95234,0.8,0.799333632,0.799333632,49.567028,20.0,20.0581837,20.0580578,39.08934
50.0,1.8,1.8479667899999999,1.8479667899999999,50.963789866666666,0.8,0.7993231846666667,0.7993231846666667,49.56311543333333,20.0,20.056962966666664,20.05686186666667,39.104565
50.0,1.8,1.85014641,1.85014641,50.97613,0.8,0.7993122,0.7993122,49.5581322,20.0,20.0551949,20.0550175,39.12477
50.0,1.8,1.8510088599999999,1.8510088599999999,50.9661732,0.8,0.7993087219999999,0.7993087219999999,49.55576,20.0,20.0541239,20.054212550000003,39.1355839
50.0,1.8,1.8533149949999999,1.8533149949999999,50.995279350000004,0.8,0.7993021235,0.7993021235,49.5513706,20.0,20.05213545,20.051932299999997,39.15377655
50.0,1.8,1.8551282850000002,1.8551282850000002,51.012180349999994,0.8,0.799299285,0.799299285,49.5479226,20.0,20.0500622,20.049950600000003,39.16908225
50.0,1.8,1.85702336,1.85702336,51.037530000000004,0.8,0.7992995,0.7992995,49.5447769,20.0,20.047823450000003,20.047705,39.1834011
